CrewID,Event Identity
1311843,-2
1311844,2x
1311845,W.MasD.2-
1311846,W.MasB.2-
1311847,W.J18.2x
1311848,W.2-
1311849,W.J18.2x
1311850,Mx.MasD.2x
1311851,W.2-
1311852,W.2-
1311853,MasI.2x
1311854,Mx.MasB.2x
1311855,W.2-
1311856,J18.2x
1311857,2x
1311858,W.MasF.2x
1311859,J16.2x
1311860,J16.2x
1311861,W.MasB.2-
1311862,W.2x
1311863,-2
1311864,W.2x
1311865,Mx.2x
1311866,W.2x
1311868,W.J16.2x
1311869,W.J16.2x
1311870,Mx.2x
1311871,W.2-
1311872,W.2-
1311873,-2
1311874,W.2x
1311875,-2
1311876,W.2x
1311877,W.2x
1311878,W.2-
1311879,Lwt.2x
1311880,Mx.MasC.2x
1311883,W.2-
1311884,W.2-
1311885,-2
1311886,-2
1311887,MasE.2-
1311888,2x
1311889,2x
1311890,2x
1311891,W.2x
1311892,W.2-
1311893,-2
1311894,MasC.2x
1311895,2x
1311896,W.2x
1311899,W.2-
1311900,2x
1311902,W.2-
1311903,2x
1311904,W.2x
1311905,MasE.2x
1311906,2x
1311907,MasE.2-
1311908,W.2x
1311909,W.2-
1311910,MasB.2x
1311911,-2
1311912,Mx.MasD.2x
1311913,-2
1311914,W.MasF.2x
1311915,MasB.2x
1311916,W.2x
1311917,W.MasD.2x
1311918,W.MasE.2x
1311920,-2
1311921,MasD.2x
1311922,W.2-
1311923,W.MasD.2x
1311924,W.2-
1311925,W.MasE.2-
1311926,W.2x
1311927,2x
1311928,W.2x
1311929,W.2-
1311930,2x
1311931,MasH.2-
1311932,MasB.2x
1311933,W.2x
1311934,W.2x
1311935,W.2-
1311936,W.MasG.2x
1311937,MasC.2x
1311938,MasG.2x
1311939,-2
1311940,MasF.2x
1311941,-2
1311942,MasE.2x
1311943,W.2-
1311944,MasE.2-
1311945,MasD.2-
1311946,W.2-
1311947,MasD.2x
1311948,W.2x
1311949,-2
1311950,MasE.2x
1311951,W.2x
1311952,MasF.2x
1311953,W.MasB.2-
1311954,-2
1311955,J18.2x
1311956,W.MasG.2x
1311958,J16.2x
1311959,W.2-
1311960,2x
1311961,2x
1311962,W.MasD.2x
1311963,MasB.2-
1311964,MasE.2x
1311965,2x
1311966,MasB.2x
1311967,W.MasF.2-
1311968,2x
1311969,MasB.2x
1311970,2x
1311971,MasE.2x
1311972,MasC.2x
1311973,W.2-
1311974,Lwt.2x
1311975,Lwt.2x
1311976,W.2x
1311977,W.2x
1311978,W.2x
1311979,W.2x
1311980,MasD.2x
1311981,W.2x
1311982,W.J18.2x
1311983,W.J18.2x
1311984,W.2x
1311985,W.J18.2x
1311986,2x
1311987,W.J18.2x
1311988,W.J18.2-
1311989,W.MasF.2x
1311990,MasB.2x
1311991,-2
1311992,-2
1311993,-2
1311994,MasD.2-
1311995,-2
1311996,2x
1311997,-2
1311998,-2
1311999,MasH.2x
1312000,2x
1312001,W.2x
1312002,W.2-
1312003,W.2-
1312004,2x
1312005,Mx.MasE.2x
1312006,J18.2x
1312007,J16.2x
1312008,2x
1312010,2x
1312012,MasF.2-
1312014,W.2-
1312016,W.2x
1312017,W.2x
1312018,W.2x
1312020,W.MasE.2x
1312021,MasF.2-
1312022,J18.2x
1312023,W.MasF.2-
1312024,J18.2x
1312025,MasC.2x
1312026,W.J18.2x
1312027,W.MasC.2x
1312028,W.J16.2x
1312029,W.MasC.2x
1312030,J16.2x
1312031,W.MasF.2x
1312032,W.J18.2-
1312033,W.J18.2x
1312034,W.MasB.2x
1312035,W.MasE.2x
1312036,W.2-
1312037,W.Lwt.2x
1312038,W.2x
1312039,W.J18.2x
1312040,J16.2x
1312041,J16.2x
1312042,J18.2x
1312043,J18.2x
1312044,W.J18.2x
1312045,J18.2-
1312046,W.J18.2x
1312047,W.J16.2x
1312048,J18.2x
1312049,W.MasD.2x
1312050,W.J18.2x
1312051,Mx.MasC.2x
1312052,W.J18.2x
1312053,W.J18.2-
1312054,W.J18.2-
1312057,2x
1312058,MasC.2-
1312059,2x
1312060,MasI.2x
1312061,MasH.2x
1312062,W.2x
1312063,Mx.MasD.2x
1312064,Mx.MasD.2x
1312065,2x
1312066,-2
1312067,W.MasD.2x
1312068,W.2x
1312069,W.MasE.2x
1312071,W.J18.2-
1312072,W.J16.2x
1312073,MasD.2-
1312074,W.J18.2-
1312075,J18.2-
1312076,MasF.2x
1312077,W.2x
1312078,MasD.2-
1312079,MasG.2-
1312080,Mx.MasB.2x
1312081,MasG.2x
1312082,-2
1312083,J18.2-
1312084,J18.2-
1312085,J18.2-
1312086,MasF.2x
1312087,J18.2-
1312088,J18.2-
1312089,J18.2-
1312090,J18.2-
1312091,J16.2x
1312092,J18.2-
1312093,J18.2-
1312094,W.MasE.2x
1312095,J18.2x
1312096,2x
1312097,W.MasF.2x
1312098,J18.2x
1312099,W.J16.2x
1312100,J18.2x
1312101,W.MasG.2x
1312103,J18.2x
1312106,W.MasD.2x
1312107,W.2-
1312108,Mx.MasH.2x
1312113,W.MasB.2x
1312120,MasH.2x
1312122,W.MasD.2x
1312124,2x
1312126,W.MasD.2x
1312129,Mx.MasD.2x
1312130,W.MasD.2-
1312135,W.MasE.2x
1312138,Mx.MasE.2x
1312142,W.2-
1312144,Mx.MasE.2x
1312147,W.MasD.2x
1312148,W.MasD.2x
1312149,J18.2x
1312150,J16.2x
1312154,W.J16.2x
1312155,W.MasF.2x
1312156,W.2x
1312161,MasE.2x
1312164,2x
1312166,W.J18.2x
1312171,MasD.2x
1312172,W.MasC.2-
1312173,W.MasB.2-
1312174,W.2-
1312175,W.Lwt.2x
1312178,W.2x
1312179,W.2x
1312183,W.2x
1312185,2x
1312193,MasF.2x
1312194,MasG.2x
1312195,W.MasE.2x
1312197,MasC.2x
1312198,W.MasB.2x
1312199,2x
1312203,W.Lwt.2x
1312224,W.MasF.2x
1312225,MasG.2x
1312226,W.2x
1312227,2x
1312228,Mx.MasG.2x
1312229,Mx.2x
1312231,MasD.2x
1312234,Mx.MasC.2x
1312244,MasG.2-
1312248,MasB.2-
1312249,MasE.2x
1312251,2x
1312252,MasD.2-
1312253,MasD.2x
1312255,W.2x
1312256,Mx.MasE.2x
1312278,MasB.2x
1312281,MasB.2x
1312291,Mx.MasC.2x
1312299,Mx.MasC.2x
1312301,J16.2x
1312302,J18.2x
1312303,J16.2x
1312304,-2
1312305,2x
1312312,MasB.2-
1312313,MasH.2-
1312314,MasE.2-
1312315,MasD.2x
1312316,MasE.2x
1312317,W.2x
1312318,W.Lwt.2x
1312319,W.MasE.2x
1312320,Mx.MasC.2x
1312321,MasC.2x
1312326,W.2-
1312330,Mx.MasD.2x
1312337,MasG.2-
1312342,W.J18.2-
1312343,W.J16.2x
1312349,W.MasE.2x
1312368,W.2x
1312369,MasD.2x
1312370,J18.2x
1312371,MasC.2x
1312372,Mx.MasC.2x
1312374,2x
1312382,-2
1312383,W.2x
1312387,MasC.2x
1312388,W.MasC.2-
1312390,W.2-
1312391,W.2-
1312392,W.2x
1312393,W.2-
1312394,2x
1312395,W.2x
1312396,W.J18.2x
1312397,W.2x
1312398,W.J18.2x
1312399,-2
1312407,W.MasB.2x
1312408,J18.2x
1312409,J18.2x
1312410,J18.2x
1312411,J18.2x
1312412,J18.2x
1312413,J18.2x
1312414,W.J18.2x
1312415,Mx.2x
1312416,J16.2x
1312417,J16.2x
1312435,W.MasC.2x
1312436,W.MasD.2x
1312437,MasB.2x
1312440,MasF.2x
1312441,W.MasE.2x
1312442,MasD.2x
1312443,MasC.2x
1312444,W.MasB.2-
1312445,Mx.MasD.2x
1312446,W.MasC.2x
1312448,MasE.2x
1312453,Mx.MasF.2x
1312460,Lwt.2x
1312471,MasF.2-
1312472,W.J16.2x
1312473,J16.2x
1312474,J18.2x
1312475,MasF.2x
1312480,W.2-
1312512,Mx.MasF.2x
1312513,MasE.2x
1312585,W.2x
1312589,W.MasE.2x
1312622,MasE.2-
1312667,W.2-
1312687,2x
1312693,W.J18.2-
1312694,-2
1312700,-2
1312713,W.2x
1312734,J16.2x
1312741,J16.2x
1312748,J16.2x
1312749,W.J16.2x
1312941,W.J16.2x
1312969,Mx.MasE.2x
1313050,W.2x
1313053,W.2x
1313055,W.2x
1313058,W.2x
1313061,W.2x
1313073,Mx.MasD.2x
1313074,Mx.MasD.2x
1313118,MasF.2-
1313208,MasE.2x
1313271,W.J18.2-
1313272,W.J18.2-
1313273,-2
1313274,W.J18.2x
1313275,W.J16.2x
1313276,W.J16.2x
1313307,W.2-
1313308,J18.2-
1313309,J18.2x
1313310,J18.2-
1313311,J18.2x
1313361,MasE.2x
1313362,MasC.2-
1313363,MasF.2x
1313364,MasC.2x
1313365,MasH.2x
1313366,MasC.2x
1313367,MasE.2x
1313368,MasG.2x
1313369,MasG.2x
1313370,MasC.2x
1313371,W.MasC.2x
1313372,Mx.MasC.2x
1313373,W.MasC.2x
1313375,W.MasC.2x
1313376,W.MasB.2x
