standard_time_label,standard_time_ms,master_category,master_time_adjustment_ms,,,,,
10:19,619000,MasE,49000,,,,,
10:19,619000,MasF,68000,,,,,
10:19,619000,MasG,88000,,,,,
10:19,619000,MasH,110000,,,,,
10:19,619000,MasI,134000,,,,,
10:19,619000,MasJ,157000,,,,,
10:20,620000,MasB,5000,,,,,
10:20,620000,MasC,18000,,,,,
10:20,620000,MasD,35000,,,,,
10:20,620000,MasE,49000,,,,,
10:20,620000,MasF,68000,,,,,
10:20,620000,MasG,88000,,,,,
10:20,620000,MasH,110000,,,,,
10:20,620000,MasI,134000,,,,,
10:20,620000,MasJ,157000,,,,,
10:21,621000,MasB,5000,,,,,
10:21,621000,MasC,18000,,,,,
10:21,621000,MasD,35000,,,,,
10:21,621000,MasE,49000,,,,,
10:21,621000,MasF,68000,,,,,
10:21,621000,MasG,88000,,,,,
10:21,621000,MasH,110000,,,,,
10:21,621000,MasI,134000,,,,,
10:21,621000,MasJ,158000,,,,,
10:22,622000,MasB,5000,,,,,
10:22,622000,MasC,18000,,,,,
10:22,622000,MasD,35000,,,,,
10:22,622000,MasE,49000,,,,,
10:22,622000,MasF,68000,,,,,
10:22,622000,MasG,88000,,,,,
10:22,622000,MasH,110000,,,,,
10:22,622000,MasI,134000,,,,,
10:22,622000,MasJ,158000,,,,,
10:23,623000,MasB,5000,,,,,
10:23,623000,MasC,18000,,,,,
10:23,623000,MasD,35000,,,,,
10:23,623000,MasE,50000,,,,,
10:23,623000,MasF,68000,,,,,
10:23,623000,MasG,88000,,,,,
10:23,623000,MasH,110000,,,,,
10:23,623000,MasI,134000,,,,,
10:23,623000,MasJ,158000,,,,,
10:24,624000,MasB,5000,,,,,
10:24,624000,MasC,18000,,,,,
10:24,624000,MasD,35000,,,,,
10:24,624000,MasE,50000,,,,,
10:24,624000,MasF,68000,,,,,
10:24,624000,MasG,88000,,,,,
10:24,624000,MasH,110000,,,,,
10:24,624000,MasI,134000,,,,,
10:24,624000,MasJ,158000,,,,,
10:25,625000,MasB,5000,,,,,
10:25,625000,MasC,18000,,,,,
10:25,625000,MasD,35000,,,,,
10:25,625000,MasE,50000,,,,,
10:25,625000,MasF,68000,,,,,
10:25,625000,MasG,88000,,,,,
10:25,625000,MasH,111000,,,,,
10:25,625000,MasI,134000,,,,,
10:25,625000,MasJ,158000,,,,,
10:26,626000,MasB,5000,,,,,
10:26,626000,MasC,18000,,,,,
10:26,626000,MasD,35000,,,,,
10:26,626000,MasE,50000,,,,,
10:26,626000,MasF,68000,,,,,
10:26,626000,MasG,88000,,,,,
10:26,626000,MasH,111000,,,,,
10:26,626000,MasI,134000,,,,,
10:26,626000,MasJ,158000,,,,,
10:27,627000,MasB,5000,,,,,
10:27,627000,MasC,18000,,,,,
10:27,627000,MasD,35000,,,,,
10:27,627000,MasE,50000,,,,,
10:27,627000,MasF,68000,,,,,
10:27,627000,MasG,88000,,,,,
10:27,627000,MasH,111000,,,,,
10:27,627000,MasI,135000,,,,,
10:27,627000,MasJ,159000,,,,,
10:28,628000,MasB,5000,,,,,
10:28,628000,MasC,18000,,,,,
10:28,628000,MasD,35000,,,,,
10:28,628000,MasE,50000,,,,,
10:28,628000,MasF,68000,,,,,
10:28,628000,MasG,88000,,,,,
10:28,628000,MasH,111000,,,,,
10:28,628000,MasI,135000,,,,,
10:28,628000,MasJ,159000,,,,,
10:29,629000,MasB,5000,,,,,
10:29,629000,MasC,18000,,,,,
10:29,629000,MasD,35000,,,,,
10:29,629000,MasE,50000,,,,,
10:29,629000,MasF,68000,,,,,
10:29,629000,MasG,88000,,,,,
10:29,629000,MasH,111000,,,,,
10:29,629000,MasI,135000,,,,,
10:29,629000,MasJ,159000,,,,,
